Gene	beta	fdr	dataset	hit_class	direction	unique_hit
ATP13A1	0.32572	0.093333	top5	top5	UP	1
ATP2B1	0.32522	0.093333	top5	top5	UP	1
ATP5D	0.48754	0.020833	top5	all	UP	0
ATP6V0C	-0.3441	0.070922	top5	top5	DOWN	1
ATXN7L3	-0.49142	0.020833	top5	other	DOWN	0
AURKB	0.40833	0.040404	top5	all	UP	0
BCAP29	-0.36046	0.053846	top5	other	DOWN	0
BCOR	-0.34897	0.070922	top5	top5	DOWN	1
BEND3	-0.31643	0.093333	top5	top5	DOWN	1
BRD4	0.30656	0.093333	top5	other	UP	0
C10orf107	-0.30831	0.093333	top5	top5	DOWN	1
C8orf59	0.65409	0.033333	top5	all	UP	0
CARM1	0.41252	0.033333	top5	top5	UP	1
CBX3	-0.31864	0.093333	top5	top5	DOWN	1
CCNB1	-0.33299	0.086667	top5	other	DOWN	0
CCNK	-0.59745	0	top5	all	DOWN	0
CCT7	0.33441	0.093333	top5	top5	UP	1
CD58	0.73189	0	top5	all	UP	0
CDC5L	-0.50604	0.020833	top5	all	DOWN	0
CDK8	-0.33182	0.089744	top5	other	DOWN	0
CENPA	0.30516	0.093333	top5	top5	UP	1
CENPI	0.38677	0.052174	top5	other	UP	0
CETN3	0.30482	0.093333	top5	top5	UP	1
CHAF1B	0.30893	0.093333	top5	top5	UP	1
CHEK1	0.49396	0.020833	top5	all	UP	0
CINP	-0.48372	0.020833	top5	other	DOWN	0
CLTC	-0.32031	0.093333	top5	other	DOWN	0
CMAS	-0.52936	0.020833	top5	other	DOWN	0
CMTM6	0.73599	0	top5	all	UP	0
COPS2	0.32241	0.093333	top5	all	UP	0
COPS5	0.56258	0	top5	all	UP	0
COX10	-0.3272	0.093333	top5	top5	DOWN	1
CPNE1	-0.32188	0.093333	top5	top5	DOWN	1
CPSF3	-0.4059	0.028571	top5	top5	DOWN	1
CRKL	0.31465	0.093333	top5	top5	UP	1
CTU1	0.33112	0.093333	top5	top5	UP	1
DCP2	-0.30732	0.093333	top5	other	DOWN	0
DDX20	-0.31579	0.093333	top5	top5	DOWN	1
DDX49	-0.39487	0.033333	top5	all	DOWN	0
DENND1A	0.32377	0.093333	top5	top5	UP	1
DENR	-0.35718	0.093333	top5	other	DOWN	0
DFFA	0.30617	0.093333	top5	top5	UP	1
DGCR2	0.39089	0.052174	top5	top5	UP	1
DHX16	-0.61353	0	top5	all	DOWN	0
DKC1	-0.42248	0.028571	top5	other	DOWN	0
DOHH	0.33422	0.093333	top5	top5	UP	1
DOLK	0.47732	0.028571	top5	other	UP	0
DPAGT1	0.46756	0.028571	top5	all	UP	0
DTYMK	0.46321	0.033333	top5	other	UP	0
DYNLL1	-0.34166	0.099567	top5	top5	DOWN	1
EFTUD1	0.3151	0.093333	top5	other	UP	0
EIF3F	-0.39562	0.053846	top5	all	DOWN	0
